BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.001,0.777,1.0,1.0,-0.004,-0.004,-0.004000000000000003
0.004,0.372,1.0,1.0,1.7328462550187391,-0.004,0.00021367638739536103
0.007,0.468,0.748,0.856,6.365715917466695,-6.178462238064578,0.5886644852003082
0.01,0.489,0.815,0.9,7.136446868996051,-5.864739262731133,0.9230649229639216
0.013,0.523,0.873,0.935,5.825083913822543,-6.5760000000000005,1.2567570490251134
0.016,0.534,0.883,0.927,7.73509027710315,-6.308,1.4615207359939406
0.019,0.532,0.885,0.92,7.907204491070258,-5.448,1.5503711284021024
0.022,0.484,0.904,0.939,11.314957752343517,-4.732,1.6948798779729248
0.025,0.512,0.928,0.959,8.465782827405658,-3.651946347294365,1.8753778289104799
0.028,0.502,0.924,0.957,8.753765696434849,-5.548,2.0097361293631493
0.031,0.514,0.933,0.964,9.610704732179066,-6.0760000000000005,2.052015962358709
0.034,0.49,0.94,0.97,8.250899603151504,-6.664,2.100282611022006
0.037,0.494,0.945,0.967,7.728592303358009,-5.368,2.2422277321170503
0.04,0.497,0.951,0.977,8.361542904379718,-5.5520000000000005,2.357444401773889
0.043,0.495,0.95,0.972,7.834241436508895,-6.836,2.4370418201471034
0.046,0.485,0.955,0.977,7.868590418172289,-4.35335539813567,2.5023464273431832
0.049,0.488,0.964,0.978,9.468500738155019,-5.572,2.545072127985155
0.052,0.502,0.967,0.979,10.161240803663617,-5.18,2.6895436486999906
0.055,0.448,0.957,0.977,9.496482735759951,-7.048,2.6048673680591614
0.058,0.481,0.962,0.976,8.486264189126803,-5.836,2.7853695005615573
0.061,0.48,0.958,0.967,8.204093583033814,-6.84,2.7721117399101183
0.064,0.494,0.971,0.987,12.244888307363201,-6.392,2.913098953903903
0.067,0.471,0.971,0.985,9.613038341604732,-7.924,2.914932247446898
0.07,0.466,0.966,0.981,9.087972718707924,-6.532,3.0103964499168017
0.073,0.47,0.966,0.98,8.342239164668657,-5.368,3.066265113047771
0.076,0.499,0.968,0.979,9.033162537513295,-7.772,3.0442606075871
0.079,0.465,0.96,0.977,8.983850700731631,-6.5760000000000005,3.080989241803343
0.082,0.47,0.962,0.981,10.09948045550754,-6.98,3.094724552795354
0.085,0.466,0.968,0.983,8.972686766856837,-6.612,3.260679697344651
0.088,0.461,0.966,0.983,10.21660649565597,-5.5040000000000004,3.26646479845018
0.091,0.448,0.953,0.981,10.598001668412188,-4.888,3.2911570263324896
0.094,0.464,0.963,0.986,8.618390790626266,-6.1000000000000005,3.3093795714064425
0.097,0.478,0.973,0.985,10.145270900524055,-5.648,3.4781995769691774
0.1,0.467,0.961,0.986,9.024472917542909,-5.3,3.425833942840919
0.103,0.458,0.977,0.988,11.651917073720108,-5.172,3.570272688423476
0.106,0.454,0.961,0.985,12.105712037522483,-4.688,3.5820757424097778
0.109,0.437,0.962,0.984,10.417524091120676,-7.804,3.5893446117771366
0.112,0.435,0.958,0.983,11.025912478777684,-7.348,3.582944721089318
0.115,0.46,0.958,0.983,9.266550671589489,-6.0280000000000005,3.6205234981356957
0.118,0.423,0.951,0.976,12.049972436591688,-6.376,3.635687063480855
0.121,0.446,0.964,0.987,10.594835255818044,-4.976,3.7133043181133543
0.124,0.426,0.964,0.987,10.044109806140137,-6.34,3.741566833811047
0.127,0.462,0.966,0.984,11.645294542319885,-5.62,3.7597751227778256
0.13,0.448,0.958,0.984,15.122310677188285,-6.26,3.819300793556935
0.133,0.446,0.964,0.989,11.992401814909227,-7.064,3.91631563201064
0.136,0.44,0.963,0.987,10.163052210578496,-7.868,3.930775560226056
0.139,0.413,0.95,0.985,12.713294698808838,-6.140000000000001,3.8970316156951523
0.142,0.431,0.965,0.992,11.595317286522382,-6.816,4.008636646321687
0.145,0.406,0.964,0.991,10.275376864333834,-7.828,4.04943307767972
0.148,0.45,0.962,0.988,11.085906551489211,-6.712,4.054230782136476
0.151,0.403,0.962,0.986,13.332398507731291,-5.786245771634894,4.07420290816956
0.154,0.446,0.968,0.991,14.93020970667648,-4.948,4.158978480892885
0.157,0.408,0.962,0.982,9.466059704460937,-7.924,4.108271537688056
0.16,0.397,0.958,0.988,10.298106666556766,-7.164000000000001,4.128713029132144
0.163,0.415,0.963,0.989,11.297555010006564,-7.252,4.248087920206466
0.166,0.403,0.957,0.981,12.94171760570871,-7.062732371695052,4.197561247482971
0.169,0.387,0.963,0.985,12.19334039439471,-7.476,4.247401748600922
0.172,0.412,0.954,0.983,11.19220446800666,-6.6080000000000005,4.240021052597573
0.175,0.413,0.966,0.993,14.118160494498898,-5.5760000000000005,4.440729939523967
0.178,0.379,0.96,0.991,9.925389564356388,-6.996,4.277782860262919
0.181,0.41,0.958,0.989,9.282980755409543,-6.3,4.371688787068108
0.184,0.406,0.956,0.978,11.037960621203434,-7.024,4.288860871858031
0.187,0.415,0.963,0.993,10.450275198929315,-7.1160000000000005,4.54508981302915
0.19,0.382,0.95,0.981,10.645613357921988,-7.368,4.411687978481487
0.193,0.376,0.967,0.988,13.052845504676604,-5.5520000000000005,4.583580255346307
0.196,0.38,0.957,0.985,14.883228557062068,-6.008,4.55915107016096
0.199,0.388,0.954,0.98,12.638490889570921,-7.288,4.537657757486116
0.202,0.376,0.971,0.986,12.101544266835932,-5.324,4.582632017803755
0.205,0.391,0.967,0.987,10.8534133866098,-7.384,4.659906144366443
0.208,0.385,0.966,0.99,10.402359028080799,-7.888,4.680294295578896
0.211,0.382,0.961,0.982,11.716075727326045,-7.0680000000000005,4.710159173951431
0.214,0.396,0.95,0.984,10.78460415174232,-6.984,4.725297307864409
0.217,0.378,0.95,0.99,11.192147442394726,-5.564,4.753899465150866
0.22,0.39,0.963,0.987,12.732378794923362,-7.316,4.858003704300411
0.223,0.36,0.964,0.988,12.636889615590773,-6.316,4.881495215420567
0.226,0.367,0.957,0.987,12.915867795656341,-5.76,4.90721216649127
0.229,0.366,0.96,0.984,11.256767516568907,-6.432,4.926363566893408
0.232,0.344,0.956,0.979,11.146990893865912,-7.5920000000000005,4.838271679716669
0.235,0.345,0.957,0.984,11.079856290004544,-5.96,4.947492490486929
0.238,0.348,0.953,0.98,10.50724568101595,-6.704,4.872037556349848
0.241,0.351,0.956,0.982,10.772113537421856,-6.972906983536993,4.891062963689609
0.244,0.374,0.959,0.986,10.75016859309948,-6.768,5.151274262534715
0.247,0.363,0.962,0.988,12.706608849871099,-5.68,5.152482464919703
0.25,0.371,0.955,0.988,10.704877296898045,-6.28,5.122866472066454
0.253,0.382,0.95,0.979,16.229169095720533,-7.1240000000000006,5.087706177477042
0.256,0.344,0.952,0.983,10.39582195736606,-7.136,5.192260950428481
0.259,0.369,0.955,0.988,11.804856689250467,-7.308,5.258963735261921
0.262,0.352,0.963,0.985,13.585833855499697,-7.852,5.312918737028774
0.265,0.351,0.97,0.986,11.529472655599772,-7.852,5.318558859315706
0.268,0.343,0.947,0.978,10.871188306170884,-7.636,5.175731901010201
0.271,0.332,0.966,0.986,11.482122483456351,-5.979848833788723,5.353368104042235
0.274,0.357,0.954,0.982,11.694377919782875,-7.04,5.351565104036969
0.277,0.348,0.94,0.969,12.497763654294172,-7.896,5.203242935929165
0.28,0.317,0.943,0.973,11.41096844640211,-7.388,5.336087867512681
0.283,0.371,0.955,0.979,14.675726324430247,-7.5,5.492606701645011
0.286,0.341,0.951,0.974,12.675510200680378,-7.996,5.447487157625452
0.289,0.323,0.949,0.982,12.10793450526584,-6.404,5.5094982250938
0.292,0.328,0.956,0.983,12.006758099357802,-6.0120000000000005,5.611785737785181
0.295,0.35,0.955,0.984,11.57315211846255,-7.164000000000001,5.580351237726572
0.298,0.329,0.947,0.977,11.716464924317632,-7.572,5.520415457898139
0.301,0.35,0.954,0.98,19.183240505888854,-5.876,5.6514610546802535
0.304,0.343,0.956,0.983,13.235400866099447,-5.96,5.777336757948382
0.307,0.332,0.958,0.98,13.466071616689199,-7.648000000000001,5.76739078883549
0.31,0.305,0.95,0.982,15.308274624388412,-7.128,5.787376235774821
0.313,0.343,0.951,0.977,12.690088763068589,-6.816,5.8047797468941935
0.316,0.314,0.96,0.986,12.186856726415696,-7.656000000000001,5.894280307519572
0.319,0.303,0.94,0.978,12.908435949193509,-6.04,5.832184399179111
0.322,0.313,0.947,0.973,13.153475064328113,-7.47032928247492,5.856104633086426
0.325,0.331,0.953,0.979,11.342323415998141,-7.0600000000000005,5.9091088046615035
0.328,0.317,0.952,0.98,11.484063898520835,-7.708,5.9941809182230275
0.331,0.287,0.944,0.971,12.390071165409665,-7.352,5.9133957837626605
0.334,0.324,0.951,0.979,12.787555542400836,-7.0600000000000005,6.028626109958148
0.337,0.302,0.942,0.97,16.02583117987687,-7.556,5.976157335290233
0.34,0.298,0.935,0.973,14.00579441037235,-7.62,6.023924166499266
0.343,0.286,0.948,0.974,11.76604347900271,-6.664,6.104057090192447
0.346,0.282,0.938,0.97,11.870794661539593,-7.5280000000000005,6.107289981510018
0.349,0.315,0.949,0.974,11.67601058262354,-6.34,6.206905980084039
0.352,0.335,0.954,0.975,12.187240143277846,-6.7,6.318652837556149
0.355,0.306,0.944,0.976,12.392282796388368,-7.82,6.3092882668516586
0.358,0.291,0.94,0.959,12.450641633427777,-7.868,6.232293204511397
0.361,0.298,0.942,0.968,13.895588681887375,-6.296,6.371473676336414
0.364,0.273,0.937,0.973,13.911994316467236,-6.2,6.380076554227941
0.367,0.297,0.952,0.979,12.982009246748646,-7.34,6.5775273480767265
0.37,0.296,0.936,0.965,13.542729690252024,-7.2,6.418247609781436
