OBSERVE_COST,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.0001,0.029,0.08,0.154,22.905576723979102,-0.19990000000000002,2.0557807901125367
0.0011,0.219,0.578,0.607,18.45951943687554,-2.1978,6.94531143983342
0.0021,0.24,0.774,0.781,16.462769192734246,-4.166399999999999,7.839741482363314
0.0031,0.205,0.877,0.89,15.21690174213521,-6.128699999999999,8.198524581827604
0.0041,0.229,0.923,0.952,15.419930551845933,-8.1795,8.238554495735858
0.0051,0.204,0.919,0.969,15.483195085791602,-9.343200000000001,7.874220496134164
0.0061,0.205,0.918,0.978,16.982628189392315,-11.5595,7.663706586796096
0.0071,0.192,0.929,0.988,17.492093662488013,-11.267700000000001,7.452131932546456
0.0081,0.192,0.946,0.995,14.594170877657021,-8.363697929637809,7.39153299897471
0.0091,0.188,0.933,0.99,12.375284785142963,-10.355107878422572,6.9706076576347265
0.0101,0.198,0.927,0.992,14.327450136484446,-10.7464,6.765501700368007
0.0111,0.201,0.944,0.998,15.519547941304078,-1.8262853085729098,6.770047585647084
0.0121,0.212,0.946,1.0,16.376471070067268,-1.1431599043207452,6.547947447076776
0.0131,0.202,0.908,0.989,12.788599036679981,-4.042003694392859,6.207856365475618
0.0141,0.197,0.92,0.984,14.6709833834193,-4.189833743759957,6.098768392260775
0.0151,0.209,0.941,0.997,14.413433583923684,-8.869349487807552,6.073785054492701
0.0161,0.212,0.935,0.994,14.947630932425804,-5.713620325374928,5.97523451259068
0.0171,0.203,0.933,0.992,11.454943439862308,-7.277651204881007,5.868206719889715
0.0181,0.208,0.92,0.988,13.121815426631915,-9.378251466615144,5.587723911839898
0.0191,0.2,0.927,0.991,12.866811683838254,-9.275740625822136,5.580546753437599
0.0201,0.206,0.93,0.99,11.41206834125443,-8.456469503330805,5.479049212982888
0.0211,0.197,0.937,0.994,12.750116927731648,-5.879488616170658,5.471172298787313
0.0221,0.205,0.932,0.989,11.073311171164907,-8.09149363549393,5.251210905493133
0.0231,0.2,0.933,0.998,10.72868538714788,-4.817511526144944,5.230350583557903
0.0241,0.216,0.918,0.992,11.073106401850541,-7.5016437542003125,4.970588516469791
0.0251,0.215,0.932,0.995,13.32266122431371,-9.616008667959267,5.029249580639579
0.0261,0.193,0.938,0.996,11.565691977152365,-6.2635427123749485,4.974046548814085
0.0271,0.218,0.925,0.995,13.507302107469199,-9.613558621084222,4.911474252384959
0.0281,0.194,0.941,0.997,14.593882299176014,-5.4701370268693195,4.78798855393055
0.0291,0.203,0.929,0.997,11.375361425527242,-5.630683392893442,4.770651360620048
0.0301,0.22,0.943,0.998,13.596027452119984,-4.956561516548108,4.772036279319672
0.0311,0.197,0.946,0.997,11.915473816500846,-5.182303402851668,4.611573007060849
0.0321,0.212,0.929,0.992,10.175126438593226,-14.331654134041347,4.5273906031218125
0.0331,0.212,0.924,0.995,9.667344604777146,-10.5835771844705,4.408646656527455
0.0341,0.205,0.941,0.993,12.530067743366773,-11.572221355623547,4.4496007936557
0.0351,0.195,0.914,0.994,10.295296799458258,-10.423901386295817,4.274482981514741
0.0361,0.224,0.94,0.996,10.332205731497483,-12.30628491201049,4.32058488889183
0.0371,0.216,0.926,0.999,12.319461852809956,-6.840247266359841,4.33802649929822
0.0381,0.206,0.927,0.997,12.609984129106785,-5.038951086808669,4.221081912359505
0.0391,0.221,0.932,0.993,12.085795494063454,-11.167969838080491,4.100036596480684
0.0401,0.198,0.931,0.998,12.292351372877427,-7.055528572839256,4.0441531102447055
0.0411,0.222,0.938,0.997,11.298097942633023,-6.50074362198259,4.147728644687286
0.0421,0.231,0.938,0.997,11.013800543463693,-9.61832962516694,4.034930689042623
0.0431,0.201,0.939,0.999,11.264381317701874,-5.842617496773395,3.963570695715584
0.0441,0.211,0.937,0.999,11.7866685195494,-15.105084738064917,4.076275261966009
0.0451,0.184,0.917,0.997,13.781470032171866,-8.608507780544691,3.7532482417732047
0.0461,0.212,0.933,0.999,9.680968670494346,-7.654753025738513,3.9512464335124715
0.0471,0.206,0.928,0.995,10.51314478139843,-7.125127428665805,3.762350735633274
0.0481,0.217,0.951,1.0,9.923576851956259,-4.305491956859821,3.951507341675801
0.0491,0.237,0.916,0.997,14.882245408661781,-11.39068845088507,3.6549687016189547
0.0501,0.222,0.931,0.997,10.104612340464039,-9.32833210892462,3.7193758823454828
0.0511,0.238,0.925,0.999,18.297189765101308,-8.012104002580447,3.7099716023262226
0.0521,0.197,0.937,0.997,11.906826922028271,-10.13036093409686,3.667390447831596
0.0531,0.206,0.933,0.997,10.30672093519196,-13.168381862027307,3.4834438970552823
0.0541,0.23,0.926,0.999,10.850486029638471,-8.075787465837585,3.5831007023734625
0.0551,0.2,0.922,0.999,11.672426328355252,-6.569648397882919,3.372068363100611
0.0561,0.232,0.933,0.999,14.11438497161488,-7.038554115629902,3.5133859664917817
0.0571,0.192,0.934,0.999,11.398377339854353,-7.439947745619079,3.4447116867220315
0.0581,0.224,0.932,0.999,13.373014929424986,-6.300333498148689,3.486287502085398
0.0591,0.225,0.943,1.0,9.98110574328687,-7.006730007332104,3.3920943527776695
0.0601,0.222,0.927,1.0,10.268966850639293,-9.962827927381756,3.3006569051020125
0.0611,0.238,0.943,0.999,11.628079485591481,-7.668499188875035,3.361056635292812
0.0621,0.219,0.93,0.999,11.068201703684004,-10.755236038025018,3.2720217356936088
0.0631,0.224,0.929,1.0,8.640244140225798,-5.863200008954809,3.2514183300942023
0.0641,0.219,0.926,0.999,9.834336356257019,-6.776757520922627,3.2312156239353524
0.0651,0.219,0.915,1.0,8.612715963893868,-6.6353421968705355,3.161135523969728
0.0661,0.225,0.937,1.0,8.694250951033366,-5.705362055764525,3.201090447847594
0.0671,0.222,0.941,1.0,8.54426858550696,-5.886459884865022,3.139593130058988
0.0681,0.212,0.934,1.0,8.966917637797378,-7.5163948529611675,3.1486470249089975
0.0691,0.216,0.938,1.0,18.873584430638857,-6.140401627092911,3.122948818813174
0.0701,0.217,0.933,1.0,9.174674478813323,-9.058852387878916,2.983497890631471
0.0711,0.217,0.933,0.999,9.645097490990283,-12.007477484753744,3.1439975989640163
0.0721,0.218,0.938,1.0,9.638997064673523,-8.92566268459546,3.0691668673360555
0.0731,0.227,0.933,0.999,9.48322030915094,-12.864410648977515,3.05291659134506
0.0741,0.225,0.925,1.0,9.232081487428907,-7.1666111518424325,2.9387854153799573
0.0751,0.221,0.94,1.0,9.354474190984952,-10.311599701694579,2.994743154151396
0.0761,0.237,0.933,1.0,11.021983752670693,-9.193762617026323,2.9643823481821556
0.0771,0.206,0.932,1.0,9.054326955836855,-7.1238575038045955,2.9246403449046046
0.0781,0.195,0.944,1.0,12.219416618883264,-10.99992956338485,2.8543644987029726
0.0791,0.219,0.927,0.999,11.044341182196588,-15.269167388920904,2.878983519960949
0.0801,0.21,0.919,1.0,8.95224180248943,-7.0049629642207165,2.791860788015105
0.0811,0.233,0.94,1.0,9.671373406215935,-5.657600776565679,2.8443049002606156
0.0821,0.234,0.94,1.0,9.428518544978179,-4.470836964237048,2.8630469063667445
0.0831,0.218,0.937,1.0,16.00193494623747,-6.794123967714901,2.7346829064219262
0.0841,0.214,0.915,1.0,8.621950432679093,-7.590951206551695,2.5698329662486725
0.0851,0.245,0.928,0.999,9.528819243239884,-10.4345037157652,2.6308776365372304
0.0861,0.218,0.924,0.999,8.860687662794216,-13.149002562908578,2.5624639726179166
0.0871,0.211,0.931,1.0,10.774637106891328,-7.376250203538056,2.6700707762855544
0.0881,0.2,0.925,1.0,9.30431027200725,-10.653788435390227,2.5572937363334147
0.0891,0.225,0.925,1.0,9.783145492294286,-8.28136415780327,2.5780014850559154
0.0901,0.216,0.933,1.0,9.845136275120597,-6.091409628112685,2.5845164305593715
0.0911,0.216,0.931,1.0,9.45683529411379,-6.776928747272312,2.595063836996702
0.0921,0.233,0.948,1.0,11.684153233411944,-6.30368559777847,2.6396562089882156
0.0931,0.218,0.924,0.999,8.745835295064404,-10.569153688795378,2.4984966283776937
0.0941,0.21,0.938,1.0,10.382183100578368,-6.166338989166302,2.5391908209753504
0.0951,0.225,0.942,1.0,8.635353376720227,-8.829698444941169,2.519282899184449
0.0961,0.215,0.943,1.0,8.182504943869056,-6.113404938571904,2.5002389913333483
0.0971,0.225,0.938,1.0,10.017003652782249,-10.079737191417866,2.5221409339347938
0.0981,0.242,0.928,1.0,10.87073671932097,-6.905475641897503,2.484587525495563
0.0991,0.219,0.944,1.0,9.755532975908316,-5.8472019964947215,2.478413976300773
0.1001,0.216,0.941,1.0,9.990131804863415,-11.1810896977757,2.311439041497959
0.1011,0.226,0.934,1.0,8.495785597670302,-8.870739743508093,2.419466185196411
0.1021,0.23,0.928,1.0,8.569655638079919,-10.103290291517428,2.359395319354465
0.1031,0.215,0.935,1.0,8.383997776443302,-8.633223855753009,2.3809993699407928
0.1041,0.257,0.94,0.999,7.852224037016635,-12.338199793757035,2.3072495596088816
