BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.001,0.76,0.98,1.0,-0.004,-0.004,-0.004000000000000003
0.004,0.44,0.92,1.0,0.4820571124902047,-0.004,0.005721142249804092
0.007,0.48,0.66,0.72,4.688198944204894,-3.564,0.4435485567938461
0.01,0.46,0.62,0.72,2.444020005345444,-3.628,0.4827642228273503
0.013,0.62,0.82,0.82,5.7646442617988916,-2.92,1.1631097438262825
0.016,0.6,0.76,0.8,7.543282246086317,-3.928,1.248042009392502
0.019,0.5,0.76,0.78,6.050363951935491,-1.6520000000000001,1.3952426295541493
0.022,0.48,0.74,0.8,4.518096290212052,-3.7600000000000002,1.2550724809764584
0.025,0.36,0.74,0.8,6.161200717314837,-3.64,1.4548392121868656
0.028,0.48,0.74,0.78,5.4635938186412485,-3.4,1.5763650640423859
0.031,0.5,0.7,0.72,6.260304670004972,-2.88,1.4783187384136005
0.034,0.48,0.72,0.76,5.894464429094485,-1.464,1.4882721214092882
0.037,0.44,0.78,0.82,8.108837625055525,-3.144,1.969574219040987
0.04,0.52,0.86,0.88,5.6382571172702685,-1.304,1.9902234931510256
0.043,0.52,0.82,0.82,6.0431995537050165,-3.12,2.038290298738519
0.046,0.48,0.66,0.72,4.3921483334214235,-3.068,1.6449853426272443
0.049,0.5,0.72,0.76,6.162050146474076,-1.576,1.9716644823362695
0.052,0.36,0.8,0.8,5.708475906949165,-3.496,1.7198800602506426
0.055,0.46,0.74,0.8,5.527949398902458,-3.92,2.239050703699576
0.058,0.5,0.8,0.82,6.253133652494774,-2.9,2.212445008142038
0.061,0.4,0.7,0.7,7.011145744912114,-2.92,1.8895622210258582
0.064,0.52,0.78,0.82,7.427736434099675,-3.012,2.324624845865534
0.067,0.44,0.7,0.74,5.527679860903536,-2.16,2.183052673660206
0.07,0.4,0.74,0.76,5.828056357639942,-3.216,2.2154554346269943
0.073,0.36,0.84,0.88,8.09707695818274,-2.916,2.6577355621212875
0.076,0.44,0.86,0.86,5.45100840802152,-3.452,2.56141166747768
0.079,0.3,0.82,0.86,8.54312968873912,-2.08,2.623312337972534
0.082,0.5,0.88,0.92,6.303510159199075,-1.496,2.961250508307836
0.085,0.38,0.78,0.82,6.030732260997986,-2.676,2.7723066406302026
0.088,0.6,0.72,0.76,5.841055079309809,-3.8040000000000003,2.471880175577631
0.091,0.3,0.68,0.74,5.570072145209322,-2.072,2.239317102866055
0.094,0.52,0.94,0.96,9.852363719067124,-0.54,3.6874215375785635
0.097,0.52,0.84,0.88,7.482524497367867,-2.864,3.1309093901830742
0.1,0.48,0.76,0.8,8.542741550193597,-3.604,2.8729623302378418
0.103,0.64,0.88,0.9,6.176861711277491,-3.536,3.4139795373904827
0.106,0.46,0.7,0.74,8.009687006973024,-3.248,2.538456988387353
0.109,0.44,0.78,0.82,6.241228151362897,-3.616,3.0067514484482256
0.112,0.46,0.84,0.84,7.690738703593896,-2.008,3.2900415955857314
0.115,0.6,0.84,0.86,7.220294676772519,-3.244,3.1189003120710885
0.118,0.6,0.88,0.88,8.7621262073953,-1.6313764042854109,3.479872378842633
0.121,0.38,0.72,0.76,7.4023302276204115,-3.7920000000000003,2.771965554742403
0.124,0.3,0.68,0.76,6.056707105195497,-1.756,2.669091168179498
0.127,0.36,0.7,0.72,5.7683208105990325,-3.7600000000000002,2.495952224939307
0.13,0.38,0.66,0.7,7.693298111726447,-2.3040000000000003,2.7120663306891415
0.133,0.48,0.84,0.84,8.929072828675942,-2.22,3.6093509617773076
0.136,0.46,0.8,0.82,6.855768185012157,-2.62,3.3732479529325654
0.139,0.52,0.78,0.82,7.202980473712574,-3.612,3.3346052506089223
0.142,0.48,0.74,0.74,6.274612390320002,-2.696,2.926283223313831
0.145,0.3,0.7,0.76,6.501663793298395,-2.232,2.725474856364034
0.148,0.4,0.78,0.78,7.744944523478498,-2.96,3.0805365005202106
0.151,0.44,0.76,0.8,8.130851448866675,-1.828,3.4924803204312567
0.154,0.5,0.76,0.78,8.714678903270682,-2.148,3.251940537565416
0.157,0.42,0.7,0.76,9.194083748739343,-2.724,3.181104871800118
0.16,0.38,0.68,0.74,6.639755858205759,-2.504,2.752558616263972
0.163,0.5,0.76,0.78,7.567946925282542,-2.548,3.226261655389879
0.166,0.52,0.76,0.78,7.522144325405135,-3.708,3.4470244431194716
0.169,0.42,0.76,0.82,11.119954724527123,-1.92,3.6626026197264836
0.172,0.34,0.74,0.76,7.855848544974541,-3.196,3.427431438550544
0.175,0.34,0.74,0.76,6.0013377042401945,-3.916,2.9422778378518224
0.178,0.44,0.78,0.82,6.377573729264363,-1.676,3.687220024684362
0.181,0.54,0.78,0.8,9.080029477413182,-3.672,3.7314567171788506
0.184,0.38,0.76,0.78,8.269387805755269,-3.052,3.4654605935971072
0.187,0.34,0.74,0.8,8.176208643058597,-3.428,3.4704959852884287
0.19,0.28,0.64,0.68,8.208269053657633,-3.2848870906536867,2.943808371185977
0.193,0.4,0.76,0.82,9.083674600954593,-3.984,3.848993596954615
0.196,0.46,0.72,0.78,11.132903945064264,-3.7960000000000003,3.48172987754529
0.199,0.42,0.78,0.82,8.133678842774483,-2.6712903039898137,3.8941191059769107
0.202,0.34,0.66,0.7,9.230856299175684,-2.712,3.2757689822939584
0.205,0.34,0.78,0.82,8.133222869249908,-2.72,4.016402295714539
0.208,0.3,0.68,0.8,11.671621156863846,-2.134901632389808,3.934197312539833
0.211,0.28,0.56,0.64,8.351990556709886,-3.384,2.680836112492459
