OBSERVE_COST,BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.0001,0.0001,1.0,0.0,1.0,-0.0001,-0.0001,-0.00010000000000000003
0.0201,0.0001,1.0,0.0,1.0,-0.0201,-0.0201,-0.020100000000000003
0.0401,0.0001,1.0,0.0,1.0,-0.0401,-0.0401,-0.04010000000000001
0.0601,0.0001,1.0,0.0,1.0,-0.0601,-0.0601,-0.060100000000000015
0.0801,0.0001,1.0,0.0,1.0,-0.0801,-0.0801,-0.08010000000000003
0.1001,0.0001,1.0,0.0,1.0,-0.1001,-0.1001,-0.10010000000000002
0.1201,0.0001,1.0,0.0,1.0,-0.1201,-0.1201,-0.12010000000000004
0.1401,0.0001,1.0,0.0,1.0,-0.1401,-0.1401,-0.14009999999999995
0.1601,0.0001,1.0,0.0,1.0,-0.1601,-0.1601,-0.16009999999999996
0.1801,0.0001,1.0,0.0,1.0,-0.1801,-0.1801,-0.18009999999999995
0.2001,0.0001,1.0,0.0,1.0,-0.2001,-0.2001,-0.20009999999999997
0.2201,0.0001,1.0,0.0,1.0,-0.2201,-0.2201,-0.2201
0.2401,0.0001,1.0,0.0,1.0,-0.2401,-0.2401,-0.2401
0.2601,0.0001,1.0,0.0,1.0,-0.2601,-0.2601,-0.2601
0.2801,0.0001,1.0,0.0,1.0,-0.2801,-0.2801,-0.2801
0.3001,0.0001,1.0,0.0,1.0,-0.3001,-0.3001,-0.3000999999999999
0.3201,0.0001,1.0,0.0,1.0,-0.3201,-0.3201,-0.3201
0.3401,0.0001,1.0,0.0,1.0,-0.3401,-0.3401,-0.3400999999999999
0.3601,0.0001,1.0,0.0,1.0,-0.3601,-0.3601,-0.36010000000000003
0.3801,0.0001,1.0,0.0,1.0,-0.3801,-0.3801,-0.38009999999999994
0.4001,0.0001,1.0,0.0,1.0,-0.4001,-0.4001,-0.40010000000000007
0.4201,0.0001,1.0,0.0,1.0,-0.4201,-0.4201,-0.4200999999999999
0.4401,0.0001,1.0,0.0,1.0,-0.4401,-0.4401,-0.4401000000000001
0.4601,0.0001,1.0,0.0,1.0,-0.4601,-0.4601,-0.4600999999999999
0.4801,0.0001,1.0,0.0,1.0,-0.4801,-0.4801,-0.48010000000000014
0.5001,0.0001,1.0,0.0,1.0,-0.5001,-0.5001,-0.5000999999999999
0.5201,0.0001,1.0,0.0,1.0,-0.5201,-0.5201,-0.5201000000000001
0.5401,0.0001,1.0,0.0,1.0,-0.5401,-0.5401,-0.5400999999999999
0.5601,0.0001,1.0,0.0,1.0,-0.5601,-0.5601,-0.5601000000000002
0.5801,0.0001,1.0,0.0,1.0,-0.5801,-0.5801,-0.5801
0.6001,0.0001,1.0,0.0,1.0,-0.6001,-0.6001,-0.6001
0.6201,0.0001,1.0,0.0,1.0,-0.6201,-0.6201,-0.6201000000000001
0.6401,0.0001,1.0,0.0,1.0,-0.6401,-0.6401,-0.6401000000000001
0.6601,0.0001,1.0,0.0,1.0,-0.6601,-0.6601,-0.6601
0.6801,0.0001,1.0,0.0,1.0,-0.6801,-0.6801,-0.6801
0.7001,0.0001,1.0,0.0,1.0,-0.7001,-0.7001,-0.7000999999999997
0.7201,0.0001,1.0,0.0,1.0,-0.7201,-0.7201,-0.7201000000000002
0.7401,0.0001,1.0,0.0,1.0,-0.7401,-0.7401,-0.7401
0.7601,0.0001,1.0,0.0,1.0,-0.7601,-0.7601,-0.7600999999999998
0.7801,0.0001,1.0,0.0,1.0,-0.7801,-0.7801,-0.7801000000000002
0.8001,0.0001,1.0,0.0,1.0,-0.8001,-0.8001,-0.8001000000000004
0.8201,0.0001,1.0,0.0,1.0,-0.8201,-0.8201,-0.8201
0.8401,0.0001,1.0,0.0,1.0,-0.8401,-0.8401,-0.8400999999999997
0.8601,0.0001,1.0,0.0,1.0,-0.8601,-0.8601,-0.8600999999999996
0.8801,0.0001,1.0,0.0,1.0,-0.8801,-0.8801,-0.8801000000000001
0.9001,0.0001,1.0,0.0,1.0,-0.9001,-0.9001,-0.9001
0.9201,0.0001,1.0,0.0,1.0,-0.9201,-0.9201,-0.9200999999999998
0.9401,0.0001,1.0,0.0,1.0,-0.9401,-0.9401,-0.9400999999999997
0.9601,0.0001,1.0,0.0,1.0,-0.9601,-0.9601,-0.9601000000000002
0.9801,0.0001,1.0,0.0,1.0,-0.9801,-0.9801,-0.9801000000000001
0.0001,0.0201,0.0,0.0,0.0,-0.001,-0.009300000000000001,-0.0053
0.0201,0.0201,0.6,0.0,1.0,-0.0201,-0.0201,-0.020100000000000003
0.0401,0.0201,0.6666666666666666,0.0,1.0,-0.0401,-0.0401,-0.04010000000000001
0.0601,0.0201,0.8,0.0,1.0,1.1172762177778464,-0.0601,0.01839174785185641
0.0801,0.0201,0.6,0.0,1.0,-0.0801,-0.0801,-0.08010000000000003
0.1001,0.0201,0.9333333333333333,0.0,1.0,-0.1001,-0.1001,-0.10010000000000002
0.1201,0.0201,0.8666666666666667,0.0,0.9333333333333333,-0.1201,-0.1201,-0.12010000000000004
0.1401,0.0201,1.0,0.0,1.0,-0.1401,-0.1401,-0.14009999999999995
0.1601,0.0201,0.7333333333333333,0.0,0.9333333333333333,-0.1196605906102729,-0.1601,-0.15740403937401817
0.1801,0.0201,1.0,0.0,1.0,-0.1801,-0.1801,-0.18009999999999995
0.2001,0.0201,0.8666666666666667,0.0,0.9333333333333333,-0.2001,-0.2001,-0.20009999999999997
0.2201,0.0201,0.9333333333333333,0.0,1.0,-0.2201,-0.2201,-0.2201
0.2401,0.0201,0.9333333333333333,0.0,1.0,-0.2401,-0.2401,-0.2401
0.2601,0.0201,0.9333333333333333,0.0,1.0,-0.2601,-0.2601,-0.2601
0.2801,0.0201,1.0,0.0,1.0,-0.2801,-0.2801,-0.2801
0.3001,0.0201,1.0,0.0,1.0,-0.3001,-0.3001,-0.3000999999999999
0.3201,0.0201,0.9333333333333333,0.0,1.0,-0.25835838696311425,-0.3201,-0.3159838924642076
0.3401,0.0201,0.9333333333333333,0.0,1.0,-0.3401,-0.3401,-0.3400999999999999
0.3601,0.0201,1.0,0.0,1.0,1.827652915615134,-0.3601,-0.21424980562565776
0.3801,0.0201,0.9333333333333333,0.0,1.0,-0.3801,-0.3801,-0.38009999999999994
0.4001,0.0201,0.8,0.0,1.0,-0.4001,-0.4001,-0.40010000000000007
0.4201,0.0201,1.0,0.0,1.0,-0.4201,-0.4201,-0.4200999999999999
0.4401,0.0201,0.9333333333333333,0.0,1.0,-0.4401,-0.4401,-0.4401000000000001
0.4601,0.0201,0.9333333333333333,0.0,1.0,-0.4601,-0.4601,-0.4600999999999999
0.4801,0.0201,1.0,0.0,1.0,-0.4801,-0.4801,-0.48010000000000014
0.5001,0.0201,1.0,0.0,1.0,-0.39048940188515174,-0.5001,-0.4927926267923433
0.5201,0.0201,1.0,0.0,1.0,-0.26290273737294606,-0.5201,-0.5029535158248633
0.5401,0.0201,1.0,0.0,1.0,1.4925620457035402,-0.5401,-0.4045891969530972
0.5601,0.0201,1.0,0.0,1.0,0.09946811968446012,-0.5601,-0.5161287920210361
0.5801,0.0201,0.8666666666666667,0.0,0.9333333333333333,-0.5801,-0.5801,-0.5801
0.6001,0.0201,1.0,0.0,1.0,-0.6001,-0.6001,-0.6001
0.6201,0.0201,0.9333333333333333,0.0,1.0,2.221500430844407,-0.6201,-0.4306599712770395
0.6401,0.0201,1.0,0.0,1.0,-0.6401,-0.6401,-0.6401000000000001
0.6601,0.0201,0.9333333333333333,0.0,1.0,-0.6601,-0.6601,-0.6601
0.6801,0.0201,0.9333333333333333,0.0,1.0,-0.6801,-0.6801,-0.6801
0.7001,0.0201,0.9333333333333333,0.0,1.0,-0.7001,-0.7001,-0.7000999999999997
0.7201,0.0201,1.0,0.0,1.0,-0.7201,-0.7201,-0.7201000000000002
0.7401,0.0201,1.0,0.0,1.0,-0.7401,-0.7401,-0.7401
0.7601,0.0201,1.0,0.0,1.0,-0.7601,-0.7601,-0.7600999999999998
0.7801,0.0201,1.0,0.0,1.0,0.027134217125733495,-0.7801,-0.7262843855249511
0.8001,0.0201,1.0,0.0,1.0,-0.8001,-0.8001,-0.8001000000000004
0.8201,0.0201,1.0,0.0,1.0,-0.09720417018946392,-0.8201,-0.7719069446792977
0.8401,0.0201,0.9333333333333333,0.0,1.0,-0.8401,-0.8401,-0.8400999999999997
0.8601,0.0201,0.9333333333333333,0.0,1.0,-0.8601,-0.8601,-0.8600999999999996
0.8801,0.0201,1.0,0.0,1.0,-0.8801,-0.8801,-0.8801000000000001
0.9001,0.0201,1.0,0.0,1.0,-0.9001,-0.9001,-0.9001
0.9201,0.0201,1.0,0.0,1.0,-0.9201,-0.9201,-0.9200999999999998
0.9401,0.0201,0.9333333333333333,0.0,0.9333333333333333,-0.9401,-0.9401,-0.9400999999999997
0.9601,0.0201,1.0,0.0,1.0,-0.6830720911960938,-0.9601,-0.9416314727464065
0.9801,0.0201,1.0,0.0,1.0,-0.9801,-0.9801,-0.9801000000000001
0.0001,0.0401,0.0,0.0,0.0,-0.0026000000000000003,-0.009600000000000001,-0.006713333333333335
0.0201,0.0401,0.3333333333333333,0.0,0.4,1.851586209384478,-1.5477,0.10497734080851436
0.0401,0.0401,0.4666666666666667,0.0,1.0,1.240967722677764,-0.0401,0.04530451484518426
0.0601,0.0401,0.4,0.0,0.8666666666666667,2.7093696399991822,-0.0601,0.17720539013161846
0.0801,0.0401,0.7333333333333333,0.0,1.0,4.2591311630564315,-0.0801,0.30821915100169356
0.1001,0.0401,0.8666666666666667,0.0,0.9333333333333333,1.1422070709829373,-0.1001,0.012498508758627345
0.1201,0.0401,1.0,0.0,1.0,0.8875318573500514,-0.1201,-0.052924542843329904
0.1401,0.0401,0.8,0.0,0.9333333333333333,-0.1401,-0.1401,-0.14009999999999995
0.1601,0.0401,0.8666666666666667,0.0,1.0,0.5433185649293865,-0.1601,-0.11320542900470755
0.1801,0.0401,0.8666666666666667,0.0,0.9333333333333333,-0.1801,-0.1801,-0.18009999999999995
0.2001,0.0401,0.9333333333333333,0.0,1.0,-0.2001,-0.2001,-0.20009999999999997
0.2201,0.0401,0.9333333333333333,0.0,1.0,0.361296696321761,-0.2201,-0.18134022024521593
0.2401,0.0401,0.6,0.0,1.0,-0.2401,-0.2401,-0.2401
0.2601,0.0401,0.8,0.0,1.0,-0.2601,-0.2601,-0.2601
0.2801,0.0401,0.7333333333333333,0.0,1.0,-0.04622190073659224,-0.2801,-0.26450812671577284
0.3001,0.0401,1.0,0.0,1.0,0.5321981589985794,-0.3001,-0.21302586278615046
0.3201,0.0401,0.9333333333333333,0.0,1.0,0.9679688764520678,-0.3201,-0.20435080152475169
0.3401,0.0401,0.9333333333333333,0.0,1.0,-0.3401,-0.3401,-0.3400999999999999
0.3601,0.0401,0.9333333333333333,0.0,1.0,2.4242127959846393,-0.3601,-0.08101148131398925
0.3801,0.0401,1.0,0.0,1.0,0.01816451938110636,-0.3801,-0.35354903204125954
0.4001,0.0401,1.0,0.0,1.0,-0.4001,-0.4001,-0.40010000000000007
0.4201,0.0401,0.9333333333333333,0.0,0.9333333333333333,1.9210064488533145,-0.4201,-0.15205851941196402
0.4401,0.0401,1.0,0.0,1.0,-0.4401,-0.4401,-0.4401000000000001
0.4601,0.0401,0.9333333333333333,0.0,1.0,0.12851105668414992,-0.4601,-0.4208592628877233
0.4801,0.0401,1.0,0.0,1.0,2.126341057283607,-0.4801,-0.3063372628477596
0.5001,0.0401,0.8666666666666667,0.0,0.9333333333333333,0.3187304167787637,-0.5001,-0.44551130554808227
0.5201,0.0401,1.0,0.0,1.0,-0.5201,-0.5201,-0.5201000000000001
0.5401,0.0401,0.8666666666666667,0.0,1.0,-0.5401,-0.5401,-0.5400999999999999
0.5601,0.0401,1.0,0.0,1.0,-0.22273206451614885,-0.5601,-0.5376088043010767
0.5801,0.0401,1.0,0.0,1.0,1.133606259927276,-0.5801,-0.4658529160048482
0.6001,0.0401,0.8666666666666667,0.0,0.9333333333333333,-0.6001,-0.6001,-0.6001
0.6201,0.0401,1.0,0.0,1.0,-0.6201,-0.6201,-0.6201000000000001
0.6401,0.0401,0.8666666666666667,0.0,1.0,-0.6401,-0.6401,-0.6401000000000001
0.6601,0.0401,0.9333333333333333,0.0,1.0,-0.6601,-0.6601,-0.6601
0.6801,0.0401,1.0,0.0,1.0,-0.6801,-0.6801,-0.6801
0.7001,0.0401,1.0,0.0,1.0,-0.1883482699476675,-0.7001,-0.665983217996511
0.7201,0.0401,0.9333333333333333,0.0,1.0,-0.7201,-0.7201,-0.7201000000000002
0.7401,0.0401,1.0,0.0,1.0,-0.34795232224425665,-0.7401,-0.7139568214829505
0.7601,0.0401,1.0,0.0,1.0,0.6054521025133306,-0.7601,-0.6690631931657778
0.7801,0.0401,0.9333333333333333,0.0,0.9333333333333333,-0.7801,-0.7801,-0.7801000000000002
0.8001,0.0401,1.0,0.0,1.0,-0.8001,-0.8001,-0.8001000000000004
0.8201,0.0401,0.8666666666666667,0.0,1.0,-0.031689861720452406,-0.8201,-0.7675393241146968
0.8401,0.0401,1.0,0.0,1.0,-0.8401,-0.8401,-0.8400999999999997
0.8601,0.0401,1.0,0.0,1.0,-0.47006440997010335,-0.8601,-0.83409762733134
0.8801,0.0401,1.0,0.0,1.0,-0.8801,-0.8801,-0.8801000000000001
