OBSERVE_COST,BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.001,0.876,0.012,0.062,0.148,60.54579815224941,-0.995,9.176084655812335
0.009,0.876,0.034,0.27,0.594,41.91386523560485,-8.946,19.394136749407963
0.017,0.876,0.044,0.328,0.796,34.98122263300981,-16.167738791303265,20.766099185872253
0.025,0.876,0.052,0.312,0.888,31.551874712943864,-24.450000000000003,19.84378266230752
0.033,0.876,0.03,0.236,0.918,29.45503939828632,-28.281000000000002,18.167885391271916
0.041,0.876,0.022,0.252,0.936,29.51238306192694,-27.289301094944495,17.835687888945216
0.049,0.876,0.038,0.276,0.936,27.650681294231344,-35.966,16.325622191524655
0.057,0.876,0.044,0.282,0.954,25.14123028414689,-20.98735946949843,15.387865692529642
0.065,0.876,0.036,0.29,0.942,23.691167208627448,-21.840912635309216,14.340659101492303
0.073,0.876,0.04,0.278,0.948,22.954306345317853,-20.984732039117432,13.486818020362888
0.081,0.876,0.034,0.274,0.948,22.524343101253685,-26.141957206930087,12.565529560381345
0.089,0.876,0.028,0.256,0.95,22.140479777763158,-25.16811899780354,12.034730435335875
0.097,0.876,0.032,0.282,0.966,21.8161777973298,-24.461010944676566,11.861660186187978
0.105,0.876,0.032,0.284,0.946,19.83857055544619,-26.60352745675856,10.652677380388097
0.113,0.876,0.05,0.274,0.962,23.79880808135508,-26.45258359378177,10.255648182948029
0.121,0.876,0.032,0.254,0.974,18.47100678627007,-23.37372276645287,10.241896725433019
0.129,0.876,0.04,0.282,0.95,19.208322496323447,-23.00641296670165,9.06239360312346
0.137,0.876,0.066,0.3,0.972,17.701411161413226,-13.293367272498646,9.560399771263478
0.145,0.876,0.03,0.298,0.96,17.165640849983777,-28.23728560264576,8.664365741572503
0.153,0.876,0.046,0.3,0.97,15.148856871601291,-15.400742630154394,8.565859621948482
0.161,0.876,0.048,0.31,0.976,22.294858394711902,-17.873392752086087,8.122411070398428
0.169,0.876,0.03,0.288,0.968,17.480992430750625,-20.739679333079287,7.391418245994595
0.177,0.876,0.034,0.322,0.976,15.118585735401261,-16.144875573840718,7.644472832527137
0.185,0.876,0.048,0.316,0.972,15.696689013550623,-21.329485946247353,7.1382638516075145
0.193,0.876,0.05,0.302,0.976,15.39278740892231,-28.39191728215502,6.659633075332329
0.201,0.876,0.048,0.266,0.976,16.139225704801664,-30.480860699427836,6.017172396128247
0.209,0.876,0.056,0.318,0.988,15.239489766216556,-18.80345194931346,6.5233222081592555
0.217,0.876,0.026,0.3,0.984,13.562099815138566,-24.062809714618346,5.7889489286773435
0.225,0.876,0.056,0.352,0.984,15.107197973109107,-28.860241100196042,6.019119384460967
0.233,0.876,0.058,0.35,0.986,13.71558060348046,-16.903898280549768,5.379819813419779
0.241,0.876,0.06,0.378,0.988,14.04602051322169,-13.879700908483983,5.443472789449793
0.249,0.876,0.074,0.308,0.978,14.592622996426222,-26.007890175130676,4.857367648734272
0.257,0.876,0.052,0.346,0.99,12.218818866193113,-17.56686882106741,4.673717005187041
0.265,0.876,0.042,0.308,0.996,12.452422663779231,-15.51308573161308,4.626849305501543
0.273,0.876,0.064,0.338,0.998,12.746275280429904,-17.718072588590022,4.369711557467266
0.281,0.876,0.054,0.38,0.994,12.683295025543892,-23.504277898816092,4.298812866747409
0.289,0.876,0.078,0.356,0.99,12.204882714666008,-14.7307441400438,4.4469365256417355
0.297,0.876,0.04,0.324,0.994,11.487332959691873,-20.930488982641478,4.077221332815631
0.305,0.876,0.05,0.366,1.0,13.526999451937192,-13.047756617690812,3.9075439852952183
0.313,0.876,0.052,0.366,0.996,12.844947898283014,-15.383029602068525,3.838180898133617
0.321,0.876,0.048,0.304,0.994,13.672965624098566,-25.15386904138012,3.474590497824573
0.329,0.876,0.052,0.336,0.998,9.912164061916737,-20.752932675601237,3.4385905835909845
0.337,0.876,0.048,0.306,0.996,10.660874176215119,-18.755089277540463,3.1492399294044833
0.345,0.876,0.048,0.344,0.998,10.517029140500116,-14.59248610456379,3.3233215509494975
0.353,0.876,0.066,0.386,0.996,10.22062391542554,-26.707838173865916,3.217474035021704
0.361,0.876,0.06,0.338,0.998,10.620307966144184,-17.492642045337377,2.761506269591877
0.369,0.876,0.084,0.382,1.0,10.17940351138008,-15.32861505214345,3.1282722820449975
0.377,0.876,0.052,0.388,0.998,9.55621887240275,-13.78653304323144,2.88843899618193
0.385,0.876,0.066,0.376,1.0,10.224455540909156,-11.43374180414308,2.5270512195449473
0.393,0.876,0.08,0.406,1.0,13.435265843850459,-16.19896213732431,2.729952504304856
0.401,0.876,0.08,0.394,1.0,8.525278497703082,-15.858411158370746,2.4761358224217003
0.409,0.876,0.064,0.4,1.0,9.2594397763102,-19.306742107344075,2.3759585452388485
0.417,0.876,0.072,0.394,1.0,12.139003838409618,-16.661218529462154,2.1630680517008396
0.425,0.876,0.08,0.392,1.0,9.160943279668532,-14.514132324472591,2.023283386112912
0.433,0.876,0.084,0.412,1.0,10.330739215514736,-12.848715121473578,2.3420315862878183
0.441,0.876,0.064,0.376,1.0,8.535344669388472,-19.490835463856943,2.0550535437211694
0.449,0.876,0.07,0.41,1.0,8.761779097470267,-25.615142532433207,1.6991026433028131
0.457,0.876,0.066,0.434,1.0,9.93994994864543,-13.185585342499962,2.147564916198395
0.465,0.876,0.066,0.412,0.996,9.181219910689878,-14.67961688170736,2.0268929636483026
0.473,0.876,0.078,0.412,0.998,8.626908743553265,-19.413737368036504,1.520646873675224
